공지,작성일
2023.11.23,[일반공지][장학] 2024학년도 1학기 국가장학금 1차 신청 안내
2023.11.23,[일반공지][공지] 2024학년도 학과 명칭 변경 예고
2023.10.06,[일반공지][상담] 2023학년도 2학기 지도교수상담 시행 안내
2023.08.01,[일반공지][수업] 2023학년도 2학기 수강신청 대비 수강지도
2023.03.06,[일반공지][수업] 2학년 실험 과목 개설 학기 변경 예고(2024학년도부터)
2023.03.02,[일반공지][졸업영어] (2023.3.1 시행)부산대학교 영어 능력 졸업인증제도 시행 지침 안내
2023.12.01,"[공과대학] ""공공쓰""와 함께 하는 기말고사 간식 나눔 행사 안내새글"
2023.11.30,2024학년도 수시모집 면접고사 시행에 따른 건물 출입 통제(12/2 11:30~15:30새글
2023.11.30,[해외파견] 2024학년도 1학기 글로벌역량강화 기본과정(어학연수) 3차 선발새글
2023.11.29,2023학년도 학부 신입생 온라인 도서관 이용교육 추가 실시(12월) 안내새글
2023.11.29,"[졸업과제] 2024년 4학년 졸업과제 조편성(공학설계과제 I,II 수강을 위해 필수)새글"
2023.11.28,[입시] 2024학년도 일반대학원 전기 모집 시행-전기전자공학과새글
2023.11.28,제2회 부산공대 온라인 DX 직무박람회 개최새글
2023.11.28,[장학] 2023학년도 2학기 경제사정 곤란 대학생 국가장학금 지원 신청 안내새글
2023.11.28,[장학] 2023년도 관정이종환교육재단 장학생 선발(희망자 신청 29일 정오까지)새글
2023.11.24,[학과행사] 2023년 제3회 전기공학과 신입생 전공역량증진 특강 강연자료 공유
